name                  filter                                      config                                                                                       tasks      cores    clockspeed    sim. time (ns)    avg resp time (ns)    peak power / thread (W)    avg power (W)    energy (J)    peak temperature (C)
parsec-bodytrack      4.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-bodytrack-simsmall-2                                                                  parsec         4             4         121254300             121254336                   2.51462          14.8079       1.79552                 136.833
parsec-fluidanimate   4.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-fluidanimate-simsmall-1                                                               parsec         2             4         417741600             417741662                   1.99126           8.05581      3.36525                 105.086
parsec-blackscholes   4.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-blackscholes-simsmall-1                                                               parsec         2             4         189338700             189338778                   2.31455           3.17048      0.600295                 56.8877
parsec-blackscholes   4.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-blackscholes-simsmall-2                                                               parsec         3             4          98929900              98929946                   2.29636           3.51488      0.347726                 60.0946
parsec-blackscholes   4.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-blackscholes-simsmall-3                                                               parsec         4             4          69409900              69409927                   2.26947           3.90097      0.270766                 63.9458
parsec-bodytrack      4.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-bodytrack-simsmall-1                                                                  parsec         3             4         623592600             623592683                   2.24929           3.08529      1.92396                  55.2822
parsec-x264           4.0GHz+maxFreq+2arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1                                                parsec         1             4         123731700             123728049                   1.94344          18.2695       2.26051                 156.072
parsec-x264           4.0GHz+maxFreq+3arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1                         parsec         1             4         128040000             128039821                   1.95054          23.9886       3.0715                  152.561
parsec-x264           4.0GHz+maxFreq+4arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1  parsec         1             4         131608900             131399521                   1.94802          29.5765       3.89253                 150.625
parsec-blackscholes   4.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-1                                                               parsec         2             4          53263400              53263494                   2.32525          12.4202       0.66154                 156.535
parsec-blackscholes   4.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-2                                                               parsec         3             4          30830000              30830054                   2.36436          17.6221       0.543289                153.461
parsec-blackscholes   4.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-3                                                               parsec         4             4          23384400              23384440                   2.32257          21.4889       0.502506                152.887
parsec-bodytrack      4.0GHz+maxFreq+slowDVFS                     parsec-bodytrack-simsmall-1                                                                  parsec         3             4         169829400             169829404                   2.47238          13.3581       2.26859                 178.837
parsec-bodytrack      4.0GHz+maxFreq+slowDVFS                     parsec-bodytrack-simsmall-2                                                                  parsec         4             4          93690900              93690986                   2.46206          19.844        1.8592                  175.859
parsec-canneal        4.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-1                                                                    parsec         2             4         672002700             672002741                   3.11274           8.09939      5.44281                  91.3941
parsec-canneal        4.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-2                                                                    parsec         3             4         603042500             603042544                   3.12216           8.40491      5.06852                  92.2051
parsec-canneal        4.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-3                                                                    parsec         4             4         584904600             584904652                   3.12046           8.50028      4.97185                  92.1956
parsec-dedup          4.0GHz+maxFreq+slowDVFS                     parsec-dedup-simsmall-1                                                                      parsec         4             4         849337400             849337427                   3.71813          11.6396       9.88597                 119.804
parsec-fluidanimate   4.0GHz+maxFreq+slowDVFS                     parsec-fluidanimate-simsmall-1                                                               parsec         2             4         378845600             378845671                   4.85798           9.76737      3.70033                 117.444
parsec-fluidanimate   4.0GHz+maxFreq+slowDVFS                     parsec-fluidanimate-simsmall-2                                                               parsec         3             4         203462600             203462672                   4.87084          13.764        2.80045                 121.918
parsec-streamcluster  4.0GHz+maxFreq+slowDVFS                     parsec-streamcluster-simsmall-1                                                              parsec         2             4         242591400             242591422                   2.19809          11.9818       2.90667                 139.682
parsec-streamcluster  4.0GHz+maxFreq+slowDVFS                     parsec-streamcluster-simsmall-2                                                              parsec         3             4         131282100             131282179                   2.19753          17.7257       2.32707                 134.692
parsec-streamcluster  4.0GHz+maxFreq+slowDVFS                     parsec-streamcluster-simsmall-3                                                              parsec         4             4          92836000              92836005                   2.20043          23.3308       2.16594                 133.195
